name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Sharp Cut,196H Campden Hill Road,,,Kensington and Chelsea,http://www.sharp-cut.com/,217011263,E09000020,Campden,E05009390,51.50841729,-0.199609937,525041.0126,180368.0026
The Albion Knitting Company,Unit 12 Crusader Industrial Estate,Hermitage Road,,Haringey,http://www.albionknit.london/,1.00024E+11,E09000014,Hermitage & Gardens,E05013591,51.57733639,-0.09151608,532342.0124,188222.0024
Plus Samples Ltd,Unit B1 Summer Court,1 Maybury Gardens,,Brent,http://www.plussamples.co.uk/,202207163,E09000005,Roundwood,E05013509,51.54699302,-0.233754222,522568.012,184600.0019
Tripl Stitched,Unit J,17 Queensway,,Enfield,https://triplstitched.com,207182707,E09000010,Ponders End,E05013689,51.64717971,-0.049324679,535058.0038,196065.9964
Creative Fashion Services,Unit 12 Excelsior Works , Rollins Street,,Lewisham,http://www.cfscreativefashionservices.com/,1.00023E+11,E09000023,New Cross Gate,E05013728,51.4841063,-0.050343832,535471.0123,177930.0023
ApparelTasker,Studio 12,5 Empson Street,,Tower Hamlets,http://appareltasker.com/,6196449,E09000030,Bromley South,E05009322,51.52215167,-0.01142769,538057.8878,182233.2821
Tanya Dimitrova Ltd,Units 9 & 10 Lancefield Studios,1A Beethoven Street,,Westminster,http://www.tanyadimitrova.com/,10033524203,E09000033,Queen's Park,E05013804,51.53083071,-0.207491292,524433.0123,182847.0023
Guava London Ltd,Unit 58 Eurolink Business Centre,49 Effra Road,,Lambeth,http://www.guavalondon.com/,1.00024E+11,E09000022,Brixton Rush Common,E05014097,51.45844156,-0.114141888,531115.0117,174960.0029
Eden Studio ,Unit 19 Windsor Park,50 Windsor Avenue,,Merton,http://www.edenstudiolondon.com/,10094251753,E09000024,Abbey,E05013810,51.411675,-0.185120636,526313.0125,169635.004
Studio MasaChuka,9 Essex House,375 High Street ,,Newham,http://www.masachuka.com/,46252102,E09000025,Stratford,E05013924,51.53885852,-0.000372685,538774.0118,184112.0018
New Planet Fashions Ltd,Paradise Arches,278-281 Lansdowne Road,,Waltham Forest,http://www.newplanetfashions.com/,1.00024E+11,E09000031,Cann Hall,E05013882,51.56099996,0.012154549,539575.0117,186598.003
Sienna Couture ,Avro House,208 Havelock Terrace,,Wandsworth,http://www.siennacouture.co.uk/,121035280,E09000032,Shaftesbury & Queenstown,E05014019,51.47747742,-0.143901732,528994.0119,177024.0026
Grade House,Sage Brent,45-47 Alperton Lane,,Brent,https://www.gradehouseltd.com/about,202135826,E09000005,Alperton,E05013496,51.53536557,-0.298902991,518081.0122,183200.0019
Nylander Couture,Unit 2 The Ivories,6-18 Northampton Street,,Islington,http://nylandercouture.com/,5300067838,E09000019,Canonbury,E05013701,51.54180622,-0.095352756,532179.0115,184263.9997
Clockwork Studios,38 Southwell Road,,,Lambeth,http://www.clockworkstudios.co.uk/,10093379709,E09000022,Herne Hill & Loughborough Junction,E05014104,51.46662,-0.09846,532180.8098,175897.6194
Cockpit Bloomsbury,"Cockpit Yard, Northington Street",,,Camden,https://cockpitstudios.org,5129260,E09000007,Holborn & Covent Garden,E05013662,51.521494,-0.11620561,530791.2257,181967.7979
Cockpit Deptford,"Cockpit Arts, 18-22 Creekside",,,Lewisham,https://cockpitstudios.org,1.00023E+11,E09000023,Deptford,E05013719,51.478626,-0.020677597,537547.1945,177375.9015
Florentia Clothing Village,"108 Vale Rd, Harringay Warehouse District, London ",,,Haringey,https://clothingvillage.com/,1.00023E+11,E09000014,Hermitage & Gardens,E05013591,51.576636,-0.088453632,532556.2413,188149.6654
Park Royal Works,"Park Royal Business Centre, 9-17 Park Royal Rd, Lo",,,Ealing,https://parkroyalworks.com,See notes,E09000009,North Acton,E05013527,51.52559,-0.26586,520398.4298,182166.6888
The Truman Brewery,"91 Brick Ln, London E1 6QR",,,Tower Hamlets,https://www.trumanbrewery.com,See notes,E09000030,Spitalfields & Banglatown,E05009333,51.52084,-0.07209,533853.5427,181974.8152
Silver Building,"60 Dock Rd, London E16 1YZ",,,Newham,http://thesilverbuilding.com,10008985422,E09000025,Royal Victoria,E05013923,51.504762,0.017112899,540091.1371,180353.824
Stratford Workshops,"Burford Rd, London E15 2SP",,,Newham,https://www.newham.gov.uk/coronavirus-covid-19/support-businesses/7,10009017863,E09000025,Stratford,E05013924,51.537326,-0.000294467,538784.0945,183941.7319
