name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
The Jewellery Display Co Ltd,Unit 25,Riverwalk Business Park,,Enfield,https://www.tjdc.co.uk/,207203504,E09000010,Brimsdown,E05013674,51.65010906,-0.022513492,536904.0449,196441.7421
The Jewellery Workshop,"10 Broadway Parade, Hornchurch RM12 4RS",,,Havering,,no UPRN,E09000016,Elm Park,E05013969,51.55073,0.19853,552527.2825,185827.9098
The Piano Works,117 Farringdon Rd,,,Islington,,5300032953,E09000019,Clerkenwell,E05013702,51.522865,-0.10809096,531350.218,182134.774
The Record Hall,"16-16A Baldwin's Gardens, London EC1N 7RJ",,,Camden,https://www.workspace.co.uk/workspaces/the-record-hall,5191576,E09000007,Holborn & Covent Garden,E05013662,51.520093,-0.10966166,531249.2239,181823.7105
Theresa Treasures Limited,Unit 1c The Show House,Watermill Way,,Merton,https://theresatreasures.co.uk/,48129844,E09000024,Colliers Wood,E05013812,51.41312585,-0.181874995,526534.7105,169801.9311
Upminster Jewellery Workshop Ltd,"201 St. Marys Ln, Upminster RM14 3BU",,,Havering,,1.00E+11,E09000016,Upminster,E05013986,51.556587,0.25236086,556239.0956,186592.7578
Vanleles Diamonds Ltd,76 Brook Street London W1K 5EE,,,Westminster,https://www.vanleles.com/,1.00E+11,E09000033,West End,E05013808,51.512676,-0.14921228,528526.2729,180928.802
Vox Studios,"1-45 Durham St, London SE11 5JH",,,Lambeth,https://www.workspace.co.uk/workspaces/vox-studios,1.00E+11,E09000022,Oval,E05014108,51.485981,-0.11838976,530741.266,178014.8265
W&W JEWELLERY,"19 Webbs Road, London SW11 6RU",,,Wandsworth,https://wandwjewellery.com,1.00E+11,E09000032,Northcote,E05014016,51.459059,-0.16389119,527657.2636,174940.843
William Cheshire Bespoke Jewellery,"14 Broadway Market, London E8 4QJ",,,Hackney,https://www.williamcheshire.com,1.00E+11,E09000012,London Fields,E05009381,51.536031,-0.061864606,534518.1319,183682.8644
WorkShop,"102 St. Pancras Way, London NW1 9ND",,,Camden,https://w-shop.co/,5020346,E09000007,Kentish Town South,E05013664,51.543539,-0.13844203,529186.2232,184379.7562
