name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,,,
Sprovieri,23 Heddon Street,,,Westminster,http://www.sprovieri.com/london/#,10033536350,E09000033,West End,E05013808,51.51061608,-0.138302438,529289.0961,180718.9351,,,
Chelsea Space,Chelsea College of Arts,16 John Islip Street,,Westminster,http://www.chelseaspace.org/#,10033538283,E09000033,Vincent Square,E05013807,51.48992522,-0.126655127,530156.2064,178438.7138,,,
Olivier Malingue,1st Floor,143 New Bond St,,Westminster,http://oliviermalingue.com/#,10033538864,E09000033,West End,E05013808,51.5109879,-0.142467085,528999.064,180752.9397,,,
Richard Green 1,147 New Bond Street,,,Westminster,http://www.richard-green.com/#,10033538867,E09000033,West End,E05013808,51.51080518,-0.142287149,529012.0656,180732.9379,,,
White Cube,25-26 Masonâ€™s Yard,,,Westminster,http://whitecube.com/#,10033550744,E09000033,St James's,E05013806,51.50710128,-0.135577762,529488.1214,180332.898,,,
Willow Gallery,40 - 41 Duke Street,St James's,,Westminster,http://www.willowgallery.com/#,10033555200,E09000033,St James's,E05013806,51.50683819,-0.136402051,529431.6655,180302.1854,,,
Albemarle Gallery,49 Albemarle Street,,,Westminster,http://www.albemarlegallery.com/#,10033567550,E09000033,St James's,E05013806,51.5075163,-0.139625012,529206.0901,180371.9025,,,
Rosenfeld Porcini,37 Rathbone Street,,,Westminster,http://rosenfeldporcini.com/#,10033569652,E09000033,West End,E05013808,51.5180099,-0.134411482,529538.1156,181548.011,,,
Lisson Gallery 1,67 Lisson St,Marylebone,,Westminster,http://www.lissongallery.com/#,10033571495,E09000033,Hyde Park,E05013796,51.52057634,-0.166555495,527300.8685,181777.0456,,,
Imitate Modern,19 Shepherd Market,,,Westminster,http://imitatemodern.com/#,10033585747,E09000033,West End,E05013808,51.50592343,-0.145238341,528821.0495,180184.8879,,,
Mark Gallery,9 Porchester Place,,,Westminster,http://www.markgallery.co.uk/#,10033586949,E09000033,Hyde Park,E05013796,51.51436604,-0.163950904,527498.8962,181090.98,,,
Halcyon Gallery I,144-146 New Bond Street,,,Westminster,http://www.halcyongallery.com/#,10033587866,E09000033,West End,E05013808,51.51088789,-0.142399088,529004.0647,180741.9383,,,
PM/AM,259-269 Old Marylebone Road,,,Westminster,http://www.pmam.org/#,10033588738,E09000033,Marylebone,E05013801,51.51772196,-0.165185374,527403.8825,181462.0159,,,
Graham Hunter Gallery,81 Baker Street,,,Westminster,http://www.grahamhuntergallery.co.uk/#,10033590107,E09000033,Marylebone,E05013801,51.5194382,-0.155342499,528081.9549,181670.0307,,,
Sims Reed Gallery,The Economist Building,30 Bury Street,,Westminster,http://gallery.simsreed.com/#,10033591023,E09000033,St James's,E05013806,51.50638098,-0.137207443,529377.0699,180249.9204,,,
Sadie Coles HQ,62 Kingly Street,Mayfair,,Westminster,http://www.sadiecoles.com/#,10033594510,E09000033,West End,E05013808,51.51179933,-0.137490282,529342.1007,180851.9477,,,
Waddington Custot Galleries,11 Cork Street,,,Westminster,http://www.waddingtoncustot.com/#,10033594958,E09000033,West End,E05013808,51.50960001,-0.140015737,529173.0844,180602.9244,,,
